MonNode,TimeSlot,UNITT,UNITS,COUNTER,FltMet1,FltMet2,Rat1,Rat2
\NSBLDE4,2017-10-1 00:00:00,NSE-AB,4,1119790,14,3.50,0.23,0
\NSBLDE4,2017-10-10 00:00:00,NSE-AB,4,1114600,0,0.00,NULL,0
\NSBLDE4,2017-10-11 00:00:00,NSE-AB,4,1110050,0,0.00,NULL,0
\NSBLDE4,2017-10-12 00:00:00,NSE-AB,4,1115960,0,0.00,NULL,0
\NSBLDE4,2017-10-13 00:00:00,NSE-AB,4,1113690,0,0.00,NULL,0
\NSBLDE4,2017-10-14 00:00:00,NSE-AB,4,1115860,0,0.00,NULL,0
\NSBLDE4,2017-10-15 00:00:00,NSE-AB,4,1121550,0,0.00,NULL,0
\NSBLDE4,2017-10-16 00:00:00,NSE-AB,4,1116080,0,0.00,NULL,0
\NSBLDE4,2017-10-17 00:00:00,NSE-AB,4,1111050,0,0.00,NULL,0
\NSBLDE4,2017-10-18 00:00:00,NSE-AB,4,1110030,0,0.00,NULL,0
\NSBLDE4,2017-10-19 00:00:00,NSE-AB,4,1109050,0,0.00,NULL,0
\NSBLDE4,2017-10-2 00:00:00,NSE-AB,4,1130500,14,3.50,0.23,0
\NSBLDE4,2017-10-20 00:00:00,NSE-AB,4,1105340,0,0.00,NULL,0
\NSBLDE4,2017-10-21 00:00:00,NSE-AB,4,1111850,0,0.00,NULL,0
\NSBLDE4,2017-10-22 00:00:00,NSE-AB,4,1111180,0,0.00,NULL,0
\NSBLDE4,2017-10-23 00:00:00,NSE-AB,4,1110150,0,0.00,NULL,0
\NSBLDE4,2017-10-24 00:00:00,NSE-AB,4,1108410,0,0.00,NULL,0
\NSBLDE4,2017-10-25 00:00:00,NSE-AB,4,1113290,0,0.00,NULL,0
\NSBLDE4,2017-10-26 00:00:00,NSE-AB,4,1121290,0,0.00,NULL,0
\NSBLDE4,2017-10-27 00:00:00,NSE-AB,4,1115000,0,0.00,NULL,0
\NSBLDE4,2017-10-28 00:00:00,NSE-AB,4,1111530,0,0.00,NULL,0
\NSBLDE4,2017-10-29 00:00:00,NSE-AB,4,1111790,0,0.00,NULL,0
\NSBLDE4,2017-10-3 00:00:00,NSE-AB,4,1139790,0,0.00,NULL,0
\NSBLDE4,2017-10-30 00:00:00,NSE-AB,4,1112400,0,0.00,NULL,0
\NSBLDE4,2017-10-31 00:00:00,NSE-AB,4,1113990,0,0.00,NULL,0
\NSBLDE4,2017-10-4 00:00:00,NSE-AB,4,1142690,0,0.00,NULL,0
\NSBLDE4,2017-10-5 00:00:00,NSE-AB,4,1136810,0,0.00,NULL,0
\NSBLDE4,2017-10-6 00:00:00,NSE-AB,4,1127120,0,0.00,NULL,0
\NSBLDE4,2017-10-7 00:00:00,NSE-AB,4,1124530,0,0.00,NULL,0
\NSBLDE4,2017-10-8 00:00:00,NSE-AB,4,1120530,0,0.00,NULL,0
\NSBLDE4,2017-10-9 00:00:00,NSE-AB,4,1119210,0,0.00,NULL,0
\NSBLDE4,2017-11-1 00:00:00,NSE-AB,4,1114970,0,0.00,NULL,0
\NSBLDE4,2017-11-10 00:00:00,NSE-AB,4,1115760,0,0.00,NULL,0
\NSBLDE4,2017-11-11 00:00:00,NSE-AB,4,1116830,0,0.00,NULL,0
\NSBLDE4,2017-11-12 00:00:00,NSE-AB,4,1121640,5,2.25,0.65,0
\NSBLDE4,2017-11-13 00:00:00,NSE-AB,4,1130380,19,9.25,0.17,0
\NSBLDE4,2017-11-14 00:00:00,NSE-AB,4,1124760,19,9.25,0.17,0
\NSBLDE4,2017-11-15 00:00:00,NSE-AB,4,1129520,18,9.00,0.18,0
\NSBLDE4,2017-11-16 00:00:00,NSE-AB,4,1129490,18,9.00,0.18,0
\NSBLDE4,2017-11-17 00:00:00,NSE-AB,4,1129790,18,9.00,0.18,0
\NSBLDE4,2017-11-18 00:00:00,NSE-AB,4,1130930,18,9.25,0.18,0
\NSBLDE4,2017-11-19 00:00:00,NSE-AB,4,1129350,18,9.00,0.18,0
\NSBLDE4,2017-11-2 00:00:00,NSE-AB,4,1111190,0,0.00,NULL,0
\NSBLDE4,2017-11-20 00:00:00,NSE-AB,4,1134420,19,9.50,0.17,0
\NSBLDE4,2017-11-21 00:00:00,NSE-AB,4,1136000,19,9.25,0.17,0
\NSBLDE4,2017-11-22 00:00:00,NSE-AB,4,1137890,19,9.50,0.17,0
\NSBLDE4,2017-11-23 00:00:00,NSE-AB,4,1138850,19,9.50,0.17,0
\NSBLDE4,2017-11-24 00:00:00,NSE-AB,4,1137250,19,9.50,0.17,0
\NSBLDE4,2017-11-25 00:00:00,NSE-AB,4,1134890,19,9.50,0.17,0
\NSBLDE4,2017-11-26 00:00:00,NSE-AB,4,1135660,19,9.50,0.17,0
\NSBLDE4,2017-11-27 00:00:00,NSE-AB,4,1136820,19,9.50,0.17,0
\NSBLDE4,2017-11-28 00:00:00,NSE-AB,4,1139520,19,9.50,0.17,0
\NSBLDE4,2017-11-29 00:00:00,NSE-AB,4,1141720,19,9.50,0.17,0
\NSBLDE4,2017-11-3 00:00:00,NSE-AB,4,1105990,0,0.00,NULL,0
\NSBLDE4,2017-11-30 00:00:00,NSE-AB,4,1149640,19,9.50,0.18,0
\NSBLDE4,2017-11-4 00:00:00,NSE-AB,4,1106390,0,0.00,NULL,0
\NSBLDE4,2017-11-5 00:00:00,NSE-AB,4,1103870,0,0.00,NULL,0
\NSBLDE4,2017-11-6 00:00:00,NSE-AB,4,1106550,0,0.00,NULL,0
\NSBLDE4,2017-11-7 00:00:00,NSE-AB,4,1115030,0,0.00,NULL,0
\NSBLDE4,2017-11-8 00:00:00,NSE-AB,4,1116020,0,0.00,NULL,0
\NSBLDE4,2017-11-9 00:00:00,NSE-AB,4,1115220,0,0.00,NULL,0
\NSBLDE4,2017-12-1 00:00:00,NSE-AB,4,1147720,19,9.50,0.17,0
\NSBLDE4,2017-12-10 00:00:00,NSE-AB,4,1316710,1,0.50,3.81,0
\NSBLDE4,2017-12-2 00:00:00,NSE-AB,4,1143950,19,9.50,0.17,0
\NSBLDE4,2017-12-3 00:00:00,NSE-AB,4,1139990,19,9.50,0.17,0
\NSBLDE4,2017-12-4 00:00:00,NSE-AB,4,1139260,19,9.50,0.17,0
\NSBLDE4,2017-12-5 00:00:00,NSE-AB,4,1211100,19,9.50,0.18,0
\NSBLDE4,2017-12-6 00:00:00,NSE-AB,4,1314710,19,9.50,0.20,0
\NSBLDE4,2017-12-7 00:00:00,NSE-AB,4,1319740,8,3.75,0.48,0
\NSBLDE4,2017-12-8 00:00:00,NSE-AB,4,1314730,1,0.50,3.80,0
\NSBLDE4,2017-12-9 00:00:00,NSE-AB,4,1315190,1,0.50,3.81,0
\NSBLDE4,2017-8-14 00:00:00,NSE-AB,4,951070,0,0.00,NULL,0
\NSBLDE4,2017-8-15 00:00:00,NSE-AB,4,956720,0,0.00,NULL,0
\NSBLDE4,2017-8-16 00:00:00,NSE-AB,4,958630,0,0.00,NULL,0
\NSBLDE4,2017-8-17 00:00:00,NSE-AB,4,960590,0,0.00,NULL,0
\NSBLDE4,2017-8-18 00:00:00,NSE-AB,4,963170,0,0.00,NULL,0
\NSBLDE4,2017-8-19 00:00:00,NSE-AB,4,962160,0,0.00,NULL,0
\NSBLDE4,2017-8-20 00:00:00,NSE-AB,4,963010,0,0.00,NULL,0
\NSBLDE4,2017-8-21 00:00:00,NSE-AB,4,963120,0,0.00,NULL,0
\NSBLDE4,2017-8-22 00:00:00,NSE-AB,4,961410,0,0.00,NULL,0
\NSBLDE4,2017-8-23 00:00:00,NSE-AB,4,963590,0,0.00,NULL,0
\NSBLDE4,2017-8-24 00:00:00,NSE-AB,4,972130,0,0.00,NULL,0
\NSBLDE4,2017-8-25 00:00:00,NSE-AB,4,968720,0,0.00,NULL,0
\NSBLDE4,2017-8-26 00:00:00,NSE-AB,4,963790,0,0.00,NULL,0
