MonNode  | TimeSlot            | UNITT | UNITS | COUNTER | FltMet1 | FltMet2 | Rat1 | Rat2 |
_____________________________________________________________________________________________
\CGNAC2  | 2020-12-14 00:00:00 | NSX-D |     4 | 2544440 |      50 |    9.66 | 0.15 | 0    |
\IRFORE  | 2020-12-14 00:00:00 | NSE-Q |     2 |  571550 |      99 |   58.95 | 0.03 | 0    |
\NSKIT06 | 2020-12-14 00:00:00 | NSE-A |     4 |  861280 |      17 |    5.11 | 0.15 | 0    |
\CGNAC2  | 2020-12-15 00:00:00 | NSX-D |     4 | 2548480 |      52 |   25.05 | 0.14 | 0    |
\IRFORE  | 2020-12-15 00:00:00 | NSE-Q |     2 |  584680 |     100 |   58.84 | 0.03 | 0    |
\NSKIT06 | 2020-12-15 00:00:00 | NSE-A |     4 |  892170 |      52 |    5.80 | 0.05 | 0    |
\CGNAC2  | 2020-12-16 00:00:00 | NSX-D |     4 | 2552590 |      72 |   25.15 | 0.10 | 0    |
\IRFORE  | 2020-12-16 00:00:00 | NSE-Q |     2 |  588500 |      99 |   51.44 | 0.03 | 0    |
\NSKIT06 | 2020-12-16 00:00:00 | NSE-A |     4 |  874300 |      32 |    6.64 | 0.08 | 0    |
\CGNAC2  | 2020-12-17 00:00:00 | NSX-D |     4 | 2551280 |      61 |   25.17 | 0.12 | 0    |
\IRFORE  | 2020-12-17 00:00:00 | NSE-Q |     2 |  583800 |      99 |   51.55 | 0.03 | 0    |
\NSKIT06 | 2020-12-17 00:00:00 | NSE-A |     4 |  916320 |      35 |    7.02 | 0.08 | 0    |
\CGNAC2  | 2020-12-18 00:00:00 | NSX-D |     4 | 2533320 |      62 |   25.08 | 0.12 | 0    |
\IRFORE  | 2020-12-18 00:00:00 | NSE-Q |     2 |  587930 |     100 |   51.11 | 0.03 | 0    |
\NSKIT06 | 2020-12-18 00:00:00 | NSE-A |     4 |  900730 |      53 |    8.16 | 0.05 | 0    |
\CGNAC2  | 2020-12-19 00:00:00 | NSX-D |     4 | 2541620 |      50 |   25.00 | 0.15 | 0    |
\IRFORE  | 2020-12-19 00:00:00 | NSE-Q |     2 |  591960 |      99 |   47.16 | 0.03 | 0    |
\NSKIT06 | 2020-12-19 00:00:00 | NSE-A |     4 |  892390 |      38 |    7.21 | 0.07 | 0    |
\CGNAC2  | 2020-12-20 00:00:00 | NSX-D |     4 | 2532410 |      50 |   25.00 | 0.15 | 0    |
\IRFORE  | 2020-12-20 00:00:00 | NSE-Q |     2 |  583640 |      99 |   44.58 | 0.03 | 0    |
\NSKIT06 | 2020-12-20 00:00:00 | NSE-A |     4 |  897620 |      51 |    5.59 | 0.05 | 0    |
\CGNAC2  | 2020-12-21 00:00:00 | NSX-D |     4 | 2529730 |      53 |   25.08 | 0.14 | 0    |
\IRFORE  | 2020-12-21 00:00:00 | NSE-Q |     2 |  583990 |      99 |   43.20 | 0.03 | 0    |
\NSKIT06 | 2020-12-21 00:00:00 | NSE-A |     4 |  912150 |      36 |    5.69 | 0.07 | 0    |
\CGNAC2  | 2020-12-22 00:00:00 | NSX-D |     4 | 2533350 |      53 |   25.17 | 0.14 | 0    |
\IRFORE  | 2020-12-22 00:00:00 | NSE-Q |     2 |  584980 |      99 |   42.17 | 0.03 | 0    |
\NSKIT06 | 2020-12-22 00:00:00 | NSE-A |     4 |  843700 |      30 |    5.24 | 0.08 | 0    |
\IRFORE  | 2020-12-23 00:00:00 | NSE-Q |     2 |  586090 |      99 |   45.98 | 0.03 | 0    |
