2021-201-03 21:00:12 | 152 samples examined | Samples examined from 2017-10-1 00:00:00 to 2020-12-23 00:00:00 | 20 forecasts made |  Linear Regression: -0.0003179057210317651 * (x) + 9.746328675488358e-11 

2021-201-04 00:11:00 | 152 samples examined | Samples examined from 2017-10-1 00:00:00 to 2020-12-23 00:00:00 | 20 forecasts made |  Linear Regression: -0.0003179057210317651 * (x) + 9.746328675488358e-11 

2021-201-04 00:12:27 | 152 samples examined | Samples examined from 2017-10-1 00:00:00 to 2020-12-23 00:00:00 | 20 forecasts made |  Linear Regression: -0.0003179057210317651 * (x) + 9.746328675488358e-11 

2021-03-05 11:53:46 | 3 samples examined | Samples examined from 2017-10-1 to 2020-12-23 | 10 forecasts made |  Linear Regression: 6.807041032982965e-7 * (x) + -1.9630978413943964e-10 

2021-03-05 11:53:46 | 3 samples examined | Samples examined from 2017-10-1 to 2020-12-23 | 10 forecasts made |  Linear Regression: -3.038271476681759e-8 * (x) + -2.910974116531091e-10 

2021-03-05 11:53:46 | 3 samples examined | Samples examined from 2017-10-1 to 2020-12-23 | 10 forecasts made |  Linear Regression: -0.000014996312563532477 * (x) + -1.6196906032105517e-10 

2021-03-05 11:55:24 | 3 samples examined | Samples examined from 2017-10-1 to 2020-12-23 | 10 forecasts made |  Linear Regression: 6.807041032982965e-7 * (x) + -1.9630978413943964e-10 

2021-03-05 11:55:24 | 3 samples examined | Samples examined from 2017-10-1 to 2020-12-23 | 10 forecasts made |  Linear Regression: -3.038271476681759e-8 * (x) + -2.910974116531091e-10 

2021-03-05 11:55:25 | 3 samples examined | Samples examined from 2017-10-1 to 2020-12-23 | 10 forecasts made |  Linear Regression: -0.000014996312563532477 * (x) + -1.6196906032105517e-10 

2021-03-05 12:03:52 | 3 samples examined | Samples examined from undefined to undefined | 10 forecasts made |  Linear Regression: 6.807041032982965e-7 * (x) + -1.9630978413943964e-10 

2021-03-05 12:03:52 | 3 samples examined | Samples examined from undefined to undefined | 10 forecasts made |  Linear Regression: -3.038271476681759e-8 * (x) + -2.910974116531091e-10 

2021-03-05 12:03:52 | 3 samples examined | Samples examined from undefined to undefined | 10 forecasts made |  Linear Regression: -0.000014996312563532477 * (x) + -1.6196906032105517e-10 

2021-03-05 12:04:46 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: 6.807041032982965e-7 * (x) + -1.9630978413943964e-10 

2021-03-05 12:04:46 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -3.038271476681759e-8 * (x) + -2.910974116531091e-10 

2021-03-05 12:04:47 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -0.000014996312563532477 * (x) + -1.6196906032105517e-10 

2021-03-05 12:26:07 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: 6.807041032982965e-7 * (x) + -1.9630978413943964e-10 

2021-03-05 12:26:07 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -3.038271476681759e-8 * (x) + -2.910974116531091e-10 

