MonNode,TimeSlot,UNITT,UNITS,COUNTER,FltMet1,FltMet2,Rat1,Rat2,Method,Year(4 digit),Year(2 digit),Month,Day of the Year,Day of the Month,Day of the Week,Time Hour,Time Minute,Time Seconds
\IRFORE,2020-01-11 00:00:00,0,10,103941568,49,17,245.52,707.66,LIN_CNT2,2020,20,1,11,11,6,0,0,0
\IRFORE,2020-01-12 00:00:00,0,10,73507323,48,12,177.25,708.98,LIN_CNT2,2020,20,1,12,12,7,0,0,0
\IRFORE,2020-01-13 00:00:00,0,10,94419720,47,17,232.52,642.84,LIN_CNT2,2020,20,1,13,13,1,0,0,0
\IRFORE,2020-01-14 00:00:00,0,10,85120726,47,16,209.62,615.75,LIN_CNT2,2020,20,1,14,14,2,0,0,0
\IRFORE,2020-01-15 00:00:00,0,10,88589268,53,17,193.46,603.14,LIN_CNT2,2020,20,1,15,15,3,0,0,0
\IRFORE,2020-01-16 00:00:00,0,10,91651080,60,17,176.80,623.99,LIN_CNT2,2020,20,1,16,16,4,0,0,0
\IRFORE,2020-01-17 00:00:00,0,10,96103817,54,19,205.98,585.43,LIN_CNT2,2020,20,1,17,17,5,0,0,0
\IRFORE,2020-01-18 00:00:00,0,10,104772800,49,18,247.48,673.69,LIN_CNT2,2020,20,1,18,18,6,0,0,0
\IRFORE,2020-01-19 00:00:00,0,10,74375981,42,14,204.96,614.88,LIN_CNT2,2020,20,1,19,19,7,0,0,0
\IRFORE,2020-01-20 00:00:00,0,10,94026075,50,17,217.65,640.16,LIN_CNT2,2020,20,1,20,20,1,0,0,0
\IRFORE,2020-01-21 00:00:00,0,10,85131849,50,16,197.06,615.83,LIN_CNT2,2020,20,1,21,21,2,0,0,0
\IRFORE,2020-01-22 00:00:00,0,10,84784052,46,16,213.33,613.31,LIN_CNT2,2020,20,1,22,22,3,0,0,0
\IRFORE,2020-01-23 00:00:00,0,10,88454084,48,16,213.29,639.86,LIN_CNT2,2020,20,1,23,23,4,0,0,0
\IRFORE,2020-01-24 00:00:00,0,10,94174053,51,19,213.72,573.67,LIN_CNT2,2020,20,1,24,24,5,0,0,0
\IRFORE,2020-01-25 00:00:00,0,10,104708983,50,18,242.38,673.28,LIN_CNT2,2020,20,1,25,25,6,0,0,0
\IRFORE,2020-01-26 00:00:00,0,10,75483741,44,14,198.56,624.04,LIN_CNT2,2020,20,1,26,26,7,0,0,0
